source,target
The sad park is in the house,le parc triste est dans la maison
The red coffee is in the city,le cafe rouge est dans la ville
The cold park is in the city,le parc froid est dans la ville
The big flower is in the garden,la fleur grande est dans le jardin
The clear house is in the city,la maison claire est dans la ville
The ready tree is in the park,l arbre pret est dans le parc
The small teacher is in the park,le professeur petit est dans le parc
The hot teacher is in the garden,le professeur chaud est dans le jardin
The tall dog is in the park,le chien grand est dans le parc
The sad city is in the park,la ville triste est dans le parc
The sad house is in the house,la maison triste est dans la maison
The ready sky is in the house,le ciel pret est dans la maison
The good cat is in the city,le chat bon est dans la ville
The angry flower is in the city,la fleur en colere est dans la ville
The big book is in the house,le livre grand est dans la maison
The happy bird is in the garden,l oiseau heureux est dans le jardin
The sad window is in the park,la fenetre triste est dans le parc
The park is small,le parc est petit
The good window is in the garden,la fenetre bonne est dans le jardin
The tired sky is in the park,le ciel fatigue est dans le parc
The good student is in the park,l etudiant bon est dans le parc
He wants to travel in the park,il veut voyager dans le parc
The tired sun is in the garden,le soleil fatigue est dans le jardin
The hot park is in the house,le parc chaud est dans la maison
The cold flower is in the garden,la fleur froide est dans le jardin
He wants to read in the park,il veut lire dans le parc
The clear garden is in the garden,le jardin clair est dans le jardin
The angry student is in the house,l etudiant en colere est dans la maison
The tired garden is in the house,le jardin fatigue est dans la maison
The sad bird is in the house,l oiseau triste est dans la maison
The tall window is in the garden,la fenetre grande est dans le jardin
The red student is in the city,l etudiant rouge est dans la ville
We like to travel in the city,nous aimons voyager dans la ville
We like to read,nous aimons lire
The coffee is angry,le cafe est en colere
The sad bird is in the city,l oiseau triste est dans la ville
The big teacher is in the city,le professeur grand est dans la ville
The red tree is in the garden,l arbre rouge est dans le jardin
The cold bird is in the garden,l oiseau froid est dans le jardin
The student is ready,l etudiant est pret
The tall cat is in the house,le chat grand est dans la maison
He wants to drink,il veut boire
We like to cook in the house,nous aimons cuisiner dans la maison
I want to eat in the garden,je veux manger dans le jardin
The small bread is in the park,le pain petit est dans le parc
The sun is tall,le soleil est grand
The house is not tall,la maison n est pas grande
The small sky is in the garden,le ciel petit est dans le jardin
The blue window is in the house,la fenetre bleue est dans la maison
The clear dog is in the garden,le chien clair est dans le jardin
The small book is in the house,le livre petit est dans la maison
The good music is in the city,la musique bonne est dans la ville
The angry park is in the park,le parc en colere est dans le parc
The small bird is in the house,l oiseau petit est dans la maison
The big river is in the park,la riviere grande est dans le parc
The cold sky is in the garden,le ciel froid est dans le jardin
The angry city is in the city,la ville en colere est dans la ville
The doctor is hot,le medecin est chaud
The tree is sad,l arbre est triste
The happy doctor is in the park,le medecin heureux est dans le parc
The cold doctor is in the house,le medecin froid est dans la maison
The sad teacher is in the park,le professeur triste est dans le parc
The tall sky is in the house,le ciel grand est dans la maison
The good house is in the park,la maison bonne est dans le parc
We like to dance in the garden,nous aimons danser dans le jardin
The tired dog is in the city,le chien fatigue est dans la ville
The ready teacher is in the house,le professeur pret est dans la maison
The cold teacher is in the house,le professeur froid est dans la maison
I want to sing,je veux chanter
The food is angry,la nourriture est en colere
The good window is in the house,la fenetre bonne est dans la maison
The blue city is in the city,la ville bleue est dans la ville
The clear tree is in the park,l arbre clair est dans le parc
The dog is clear,le chien est clair
The hot student is in the house,l etudiant chaud est dans la maison
The small teacher is in the house,le professeur petit est dans la maison
I want to travel in the house,je veux voyager dans la maison
I am not blue,je ne suis pas bleu
The door is sad,la porte est triste
The flower is big,la fleur est grande
The clear sun is in the house,le soleil clair est dans la maison
We like to drink in the house,nous aimons boire dans la maison
The window is good,la fenetre est bonne
The angry tree is in the garden,l arbre en colere est dans le jardin
She wants to travel,elle veut voyager
The cold door is in the park,la porte froide est dans le parc
The car is cold,la voiture est froide
The bird is cold,l oiseau est froid
The tired fish is in the park,le poisson fatigue est dans le parc
The angry dog is in the park,le chien en colere est dans le parc
The clear food is in the house,la nourriture claire est dans la maison
The tall bread is in the house,le pain grand est dans la maison
The tired sun is in the park,le soleil fatigue est dans le parc
The sad doctor is in the city,le medecin triste est dans la ville
The sad bread is in the park,le pain triste est dans le parc
We like to cook in the garden,nous aimons cuisiner dans le jardin
The bird is clear,l oiseau est clair
He wants to drink in the garden,il veut boire dans le jardin
The small garden is in the house,le jardin petit est dans la maison
The teacher is red,le professeur est rouge
The dog is red,le chien est rouge
I want to cook in the garden,je veux cuisiner dans le jardin
The house is not clear,la maison n est pas claire
The teacher is small,le professeur est petit
The angry coffee is in the city,le cafe en colere est dans la ville
The teacher is tired,le professeur est fatigue
The happy cat is in the garden,le chat heureux est dans le jardin
The angry nurse is in the garden,l infirmiere en colere est dans le jardin
The big city is in the park,la ville grande est dans le parc
The red sky is in the house,le ciel rouge est dans la maison
The tall bread is in the city,le pain grand est dans la ville
He is not red,il n est pas rouge
The big bread is in the park,le pain grand est dans le parc
The blue city is in the garden,la ville bleue est dans le jardin
He wants to cook,il veut cuisiner
The clear cat is in the park,le chat clair est dans le parc
The ready dog is in the house,le chien pret est dans la maison
The cold cat is in the garden,le chat froid est dans le jardin
The coffee is ready,le cafe est pret
The angry river is in the city,la riviere en colere est dans la ville
I want to drink in the garden,je veux boire dans le jardin
The long food is in the house,la nourriture longue est dans la maison
We like to cook in the city,nous aimons cuisiner dans la ville
The angry dog is in the garden,le chien en colere est dans le jardin
The good sky is in the house,le ciel bon est dans la maison
The small sky is in the city,le ciel petit est dans la ville
The sad student is in the house,l etudiant triste est dans la maison
The blue food is in the house,la nourriture bleue est dans la maison
The small book is in the city,le livre petit est dans la ville
The tired sky is in the house,le ciel fatigue est dans la maison
The tired doctor is in the house,le medecin fatigue est dans la maison
The good fish is in the park,le poisson bon est dans le parc
The tall flower is in the park,la fleur grande est dans le parc
The clear cat is in the house,le chat clair est dans la maison
The red city is in the city,la ville rouge est dans la ville
The window is blue,la fenetre est bleue
He is not small,il n est pas petit
The small bird is in the city,l oiseau petit est dans la ville
The blue sun is in the house,le soleil bleu est dans la maison
The red car is in the city,la voiture rouge est dans la ville
The cold flower is in the house,la fleur froide est dans la maison
The garden is angry,le jardin est en colere
The tired tree is in the house,l arbre fatigue est dans la maison
The small student is in the house,l etudiant petit est dans la maison
The tall food is in the city,la nourriture grande est dans la ville
The blue book is in the park,le livre bleu est dans le parc
I am not good,je ne suis pas bon
The dog is good,le chien est bon
The angry book is in the city,le livre en colere est dans la ville
The angry car is in the house,la voiture en colere est dans la maison
The clear door is in the house,la porte claire est dans la maison
The dog is not tired,le chien n est pas fatigue
The happy coffee is in the park,le cafe heureux est dans le parc
The angry student is in the city,l etudiant en colere est dans la ville
The ready garden is in the park,le jardin pret est dans le parc
The blue house is in the garden,la maison bleue est dans le jardin
